序号,股票代码,股票名称,最新价(元),涨跌幅(%),市盈率(PE),总市值(亿元)
1,688008,澜起科技,210.27,0.17,100.48,2569.92
2,688009,中国通号,5.08,0.00,14.75,537.96
3,688012,中微公司,370.00,-3.80,85.00,2319.60
4,688027,国盾量子,590.60,-0.89,9088.31,607.50
5,688036,传音控股,57.42,-0.26,23.68,661.01
6,688041,海光信息,323.28,-5.36,275.64,7514.12
7,688047,龙芯中科,173.82,-5.25,-166.82,697.02
8,688065,凯赛生物,47.60,-0.56,58.24,343.33
9,688072,拓荆科技,463.05,-3.44,79.61,1309.01
10,688082,盛美上海,160.21,-0.09,61.35,769.27
11,688099,晶晨股份,112.70,1.62,55.32,474.65
12,688111,金山办公,271.26,-1.07,34.64,1256.94
13,688114,华大智造,52.70,0.08,-138.91,219.50
14,688120,华海清科,195.94,-2.34,63.13,692.95
15,688122,西部超导,67.84,-0.01,61.80,440.73
16,688126,沪硅产业,22.99,2.00,-42.64,759.82
17,688169,石头科技,120.87,2.35,22.07,313.18
18,688183,生益电子,106.85,-1.03,51.74,888.80
19,688187,时代电气,48.86,-1.35,16.15,663.49
20,688188,柏楚电子,153.14,-0.91,37.68,442.16
21,688213,思特威-W,89.52,-1.95,34.41,360.15
22,688220,翱捷科技-U,102.94,0.87,-145.44,430.60
23,688223,晶科能源,7.15,5.77,-10.73,734.26
24,688234,天岳先进,108.66,-2.21,-189.87,526.59
25,688249,晶合集成,33.28,-2.29,107.87,668.13
26,688256,寒武纪,1182.53,-5.60,273.46,7429.75
27,688271,联影医疗,115.94,4.22,50.34,955.53
28,688278,特宝生物,57.16,0.67,23.02,233.32
29,688297,中无人机,47.61,2.96,362.74,321.37
30,688303,大全能源,22.69,-1.22,-35.48,486.75
31,688349,三一重能,24.89,-1.11,28.19,305.25
32,688361,中科飞测,191.30,-3.38,11853.86,669.86
33,688375,国博电子,133.39,4.95,176.34,795.02
34,688396,华润微,58.14,1.95,85.11,772.22
35,688469,芯联集成-U,6.96,-0.14,-116.46,583.44
36,688472,阿特斯,14.50,0.49,35.50,528.26
37,688506,百利天恒,265.75,-3.89,-84.61,1097.21
38,688521,芯原股份,262.00,-4.73,-212.54,1377.90
39,688525,佰维存储,290.45,-3.13,34.63,1367.55
40,688538,和辉光电-U,2.34,1.30,-16.71,323.14
41,688568,中科星图,66.80,7.93,-385.02,539.80
42,688578,艾力斯,94.46,-1.93,17.60,425.07
43,688599,天合光能,17.80,-0.45,-6.96,416.98
44,688608,恒玄科技,178.96,-0.08,61.30,301.89
45,688617,惠泰医疗,232.61,-0.85,37.84,328.08
46,688702,盛科通信-U,307.88,-1.26,-831.69,1262.31
47,688728,格科微,14.50,2.84,363.81,377.09
48,688777,中控技术,81.44,-1.38,162.69,644.34
49,688981,中芯国际,120.31,-4.01,191.25,9640.64
50,689009,九号公司-WD,43.04,0.84,20.66,311.03
